涓撲笟,鎬у埆,姣忓懆瀛︿範鏃堕暱锛堝皬鏃讹級,涓婅鍑哄嫟鐜?鏈熶腑鑰冭瘯鍒嗘暟,浣滀笟瀹屾垚鐜?鏈熸湯鑰冭瘯鍒嗘暟,鎬у埆_缂栫爜,涓撲笟_缂栫爜,
鐢靛瓙鍟嗗姟,鐢?7.77,0.66,76.29,0.72,57.64,1,3
宸ュ晢绠＄悊,濂?17.59,0.63,99.24,0.88,81.96,0,0
浜哄伐鏅鸿兘,濂?21.66,0.7,62.57,0.93,57.62,0,1
宸ュ晢绠＄悊,鐢?18.5,0.82,63.57,0.98,71.11,1,0
宸ュ晢绠＄悊,濂?23.65,0.68,75.49,1,70.1,0,0
澶ф暟鎹鐞?鐢?31.16,0.96,72.47,0.8,76.26,1,4,
澶ф暟鎹鐞?濂?17.13,0.93,100,0.88,80.66,0,4,
鐢靛瓙鍟嗗姟,鐢?17.59,0.81,62.88,0.71,78.37,1,3
鐢靛瓙鍟嗗姟,鐢?15.12,0.75,72,0.74,65.87,1,3
鐢靛瓙鍟嗗姟,鐢?27.87,0.85,82.59,0.91,74.08,1,3
浜哄伐鏅鸿兘,濂?24.9,0.8,74.8,0.92,81.87,0,1
宸ュ晢绠＄悊,鐢?22.85,0.97,71.79,0.98,67.08,1,0
宸ュ晢绠＄悊,濂?21.16,0.86,83.65,0.79,78.81,0,0
鐢靛瓙鍟嗗姟,濂?12.57,0.98,76.68,0.84,54.85,0,3
鐢靛瓙鍟嗗姟,濂?18.52,0.62,69.88,0.71,53.39,0,3
澶ф暟鎹鐞?鐢?16.7,0.65,77.52,0.72,69.22,1,4,
宸ュ晢绠＄悊,鐢?13.87,0.93,98.92,0.89,90.02,1,0
宸ュ晢绠＄悊,濂?20.56,0.92,69.53,0.85,72.93,0,0
璐㈠姟绠＄悊,鐢?7.66,0.92,90.23,0.77,73.21,1,2
璐㈠姟绠＄悊,濂?28.78,0.65,87.5,0.85,78.47,0,2
璐㈠姟绠＄悊,濂?18.72,0.7,71,0.84,55.88,0,2
璐㈠姟绠＄悊,濂?20.79,0.9,72.24,0.96,68.59,0,2
浜哄伐鏅鸿兘,濂?26.22,0.82,57.79,0.79,62.74,0,1
宸ュ晢绠＄悊,鐢?15.95,0.93,74.93,0.77,79.89,1,0
澶ф暟鎹鐞?濂?12.73,0.96,84.53,0.93,79.99,0,4,
宸ュ晢绠＄悊,鐢?14.53,0.77,80.36,0.87,56.99,1,0
浜哄伐鏅鸿兘,濂?37.18,0.62,53.35,0.7,67.09,0,1
鐢靛瓙鍟嗗姟,鐢?5.0,0.72,68.67,0.91,57.72,1,3
浜哄伐鏅鸿兘,鐢?18.34,1,58.78,0.8,60.04,1,1
澶ф暟鎹鐞?濂?19.35,0.64,61.3,0.78,66.48,0,4,
宸ュ晢绠＄悊,鐢?14.87,0.77,68.59,0.95,76.25,1,0
璐㈠姟绠＄悊,濂?5.0,0.68,93.32,0.98,82.99,0,2
鐢靛瓙鍟嗗姟,濂?11.46,0.85,100,0.97,75.72,0,3
璐㈠姟绠＄悊,濂?21.1,0.61,77.22,0.91,69.41,0,2
澶ф暟鎹鐞?鐢?10.11,0.95,58.35,0.87,64.57,1,4,
浜哄伐鏅鸿兘,濂?5.22,0.82,70.18,0.99,74.07,0,1
澶ф暟鎹鐞?濂?11.74,0.82,63.5,0.84,58.36,0,4,
宸ュ晢绠＄悊,濂?29.59,0.84,93.21,0.98,87.37,0,0
鐢靛瓙鍟嗗姟,鐢?19.19,0.98,87.47,1,74.1,1,3
鐢靛瓙鍟嗗姟,鐢?21.55,0.73,76.86,0.76,62.13,1,3
宸ュ晢绠＄悊,鐢?16.68,0.93,62.38,0.83,72.76,1,0
浜哄伐鏅鸿兘,濂?29.02,0.98,61.37,0.73,80.35,0,1
宸ュ晢绠＄悊,鐢?11.45,0.89,77.31,0.87,70.23,1,0
鐢靛瓙鍟嗗姟,鐢?11.86,0.86,81.1,0.72,79.02,1,3
鐢靛瓙鍟嗗姟,鐢?11.77,0.66,86.2,0.98,76.83,1,3
澶ф暟鎹鐞?濂?28.24,0.98,100,0.74,85.42,0,4,
浜哄伐鏅鸿兘,濂?18.14,0.72,68.39,0.85,69.9,0,1
璐㈠姟绠＄悊,濂?19.61,0.8,76.48,0.91,86.15,0,2
浜哄伐鏅鸿兘,濂?14.03,0.8,71.93,0.9,68.2,0,1
浜哄伐鏅鸿兘,濂?22.16,0.85,100,0.8,98.09,0,1
浜哄伐鏅鸿兘,濂?17.64,0.98,80.9,0.82,55.9,0,1
澶ф暟鎹鐞?濂?36.71,0.72,84.8,0.87,89.77,0,4,
浜哄伐鏅鸿兘,濂?15.88,0.95,76.17,0.88,74.11,0,1
浜哄伐鏅鸿兘,鐢?12.7,0.89,71.53,0.89,66.13,1,1
浜哄伐鏅鸿兘,鐢?27.25,0.94,61.27,0.8,71,1,1
宸ュ晢绠＄悊,濂?17.28,0.64,83.55,0.88,58.55,0,0
浜哄伐鏅鸿兘,鐢?14.85,0.86,60.81,0.71,59.48,1,1
璐㈠姟绠＄悊,鐢?28.14,0.94,65.22,0.85,76.13,1,2
浜哄伐鏅鸿兘,鐢?7.66,0.99,64.43,0.81,76.77,1,1
鐢靛瓙鍟嗗姟,濂?27.81,0.89,34.29,0.89,54.08,0,3
鐢靛瓙鍟嗗姟,濂?35.31,0.67,67.56,0.98,70.96,0,3
澶ф暟鎹鐞?濂?20.59,0.69,76.71,0.79,66.86,0,4,
澶ф暟鎹鐞?濂?17.36,0.87,59.65,0.72,69.99,0,4,
浜哄伐鏅鸿兘,濂?20.63,0.75,77.24,0.97,77.31,0,1
浜哄伐鏅鸿兘,鐢?32.07,0.68,67.26,0.76,67.72,1,1
鐢靛瓙鍟嗗姟,鐢?27.28,0.8,74.78,0.83,79.16,1,3
浜哄伐鏅鸿兘,濂?18.69,0.69,78.18,0.8,71.63,0,1
璐㈠姟绠＄悊,濂?25.72,0.75,77.34,0.96,84.49,0,2
璐㈠姟绠＄悊,鐢?19.51,0.65,61.07,0.71,54.99,1,2
澶ф暟鎹鐞?鐢?30.87,0.64,60.01,0.82,65.01,1,4,
璐㈠姟绠＄悊,鐢?24.79,0.71,69.45,0.78,66.49,1,2
璐㈠姟绠＄悊,鐢?22.72,0.73,74.86,0.89,61.66,1,2
宸ュ晢绠＄悊,鐢?27.36,0.93,88.88,0.93,88.15,1,0
璐㈠姟绠＄悊,鐢?16.72,0.99,84.32,0.79,79.35,1,2
璐㈠姟绠＄悊,濂?7.64,0.88,100,0.99,81.9,0,2
澶ф暟鎹鐞?濂?23.58,0.92,88.69,0.75,79.41,0,4,
璐㈠姟绠＄悊,濂?24.62,0.83,71.35,0.95,63.99,0,2
鐢靛瓙鍟嗗姟,鐢?26.72,0.78,61.48,0.8,64.57,1,3
宸ュ晢绠＄悊,鐢?12.61,0.7,60.69,0.72,54.88,1,0
澶ф暟鎹鐞?濂?34.29,0.83,94.84,0.71,82.37,0,4,
宸ュ晢绠＄悊,鐢?17.28,0.65,66.85,0.95,64.82,1,0
宸ュ晢绠＄悊,鐢?20.04,0.89,76.13,0.88,77.9,1,0
鐢靛瓙鍟嗗姟,鐢?22.1,0.61,78.73,0.9,87.67,1,3
璐㈠姟绠＄悊,濂?24.63,0.92,57.21,0.9,69.51,0,2
浜哄伐鏅鸿兘,濂?28.0,0.78,50.88,0.82,65.32,0,1
璐㈠姟绠＄悊,鐢?22.34,0.71,61.9,0.74,63.32,1,2
宸ュ晢绠＄悊,濂?18.56,0.95,73.62,0.9,58.27,0,0
澶ф暟鎹鐞?鐢?32.99,0.81,66.13,0.87,74.66,1,4,
澶ф暟鎹鐞?濂?12.96,0.8,81.58,0.76,71.2,0,4,
宸ュ晢绠＄悊,濂?14.68,0.83,62.73,0.95,86.38,0,0
澶ф暟鎹鐞?鐢?25.01,0.95,61.98,0.86,69.22,1,4,
鐢靛瓙鍟嗗姟,鐢?21.86,0.78,54.81,0.71,63.05,1,3
澶ф暟鎹鐞?鐢?7.85,0.7,88.15,0.92,71.9,1,4,
澶ф暟鎹鐞?鐢?32.92,0.89,69.41,0.81,68.9,1,4,
鐢靛瓙鍟嗗姟,濂?14.51,0.95,71.98,0.88,80.39,0,3
澶ф暟鎹鐞?濂?27.93,0.95,44.52,0.93,69.52,0,4,
浜哄伐鏅鸿兘,鐢?10.64,0.95,26.66,0.75,51.12,1,1
澶ф暟鎹鐞?鐢?23.51,0.79,66.43,0.98,64.61,1,4,
璐㈠姟绠＄悊,鐢?15.06,0.99,92.77,0.97,95.27,1,2
澶ф暟鎹鐞?濂?28.54,0.93,41.66,0.75,50.26,0,4,
璐㈠姟绠＄悊,濂?32.89,0.95,76.71,0.84,85.58,0,2
澶ф暟鎹鐞?濂?18.06,0.75,68.26,0.9,85.73,0,4,
鐢靛瓙鍟嗗姟,鐢?25.5,0.6,51.34,0.86,53.05,1,3
璐㈠姟绠＄悊,鐢?8.38,0.9,88.97,0.87,69.98,1,2
浜哄伐鏅鸿兘,鐢?16.05,0.92,100,0.88,85.93,1,1
澶ф暟鎹鐞?濂?18.59,0.74,62.18,0.71,58.08,0,4,
澶ф暟鎹鐞?濂?15.87,0.74,68.17,0.86,52.99,0,4,
鐢靛瓙鍟嗗姟,濂?14.74,0.63,89.54,0.89,75.57,0,3
浜哄伐鏅鸿兘,鐢?23.63,0.75,66.21,0.91,61.77,1,1
澶ф暟鎹鐞?鐢?10.18,0.95,95.81,0.99,86.34,1,4,
璐㈠姟绠＄悊,鐢?26.15,0.63,62.1,0.7,57.32,1,2
璐㈠姟绠＄悊,濂?13.83,0.63,62.87,0.96,75.55,0,2
宸ュ晢绠＄悊,濂?26.84,0.8,74.83,0.99,71.89,0,0
宸ュ晢绠＄悊,濂?14.67,0.94,64.05,0.79,62.59,0,0
璐㈠姟绠＄悊,鐢?10.4,0.86,69.8,0.8,72.33,1,2
璐㈠姟绠＄悊,鐢?24.52,0.91,70.68,0.72,62.66,1,2
浜哄伐鏅鸿兘,濂?30.67,0.86,100,0.9,93.27,0,1
璐㈠姟绠＄悊,濂?23.48,0.86,65.4,0.98,82.04,0,2
澶ф暟鎹鐞?濂?16.69,0.95,76.82,0.85,60.39,0,4,
鐢靛瓙鍟嗗姟,鐢?15.86,0.93,57.15,0.88,65.17,1,3
鐢靛瓙鍟嗗姟,鐢?13.56,0.67,58.64,0.82,60.73,1,3
鐢靛瓙鍟嗗姟,鐢?25.21,0.85,83.67,0.76,84.34,1,3
澶ф暟鎹鐞?濂?19.25,0.9,68.68,0.9,61.01,0,4,
鐢靛瓙鍟嗗姟,鐢?20.63,0.9,73.84,0.77,61.8,1,3
澶ф暟鎹鐞?鐢?31.62,0.65,67.64,0.88,76.14,1,4,
鐢靛瓙鍟嗗姟,鐢?11.22,0.93,79.45,0.88,75.2,1,3
璐㈠姟绠＄悊,鐢?19.48,0.74,83.88,0.85,77.5,1,2
璐㈠姟绠＄悊,鐢?19.32,0.9,69.87,0.85,73.66,1,2
澶ф暟鎹鐞?鐢?12.3,0.77,89.29,0.83,68.81,1,4,
璐㈠姟绠＄悊,鐢?13.42,0.68,68.19,0.82,65.33,1,2
鐢靛瓙鍟嗗姟,濂?22.07,0.6,93.16,0.85,81.71,0,3
澶ф暟鎹鐞?鐢?15.7,0.89,73.66,0.77,63.54,1,4,
鐢靛瓙鍟嗗姟,鐢?11.08,0.66,56.85,0.71,71.12,1,3
璐㈠姟绠＄悊,濂?17.41,0.81,60.16,0.81,66.93,0,2
浜哄伐鏅鸿兘,鐢?20.73,0.62,66.65,0.91,57.16,1,1
澶ф暟鎹鐞?濂?20.34,0.74,55.92,0.8,66.39,0,4,
鐢靛瓙鍟嗗姟,鐢?16.55,0.67,82.59,0.81,63.63,1,3
璐㈠姟绠＄悊,鐢?32.26,0.99,98.36,0.96,99.86,1,2
宸ュ晢绠＄悊,鐢?22.58,0.66,63.89,0.81,74.22,1,0
浜哄伐鏅鸿兘,濂?18.54,0.69,57.04,0.86,54.29,0,1
璐㈠姟绠＄悊,濂?5.0,0.76,81.93,0.92,77.87,0,2
浜哄伐鏅鸿兘,濂?22.01,0.69,97.86,0.99,88.31,0,1
宸ュ晢绠＄悊,濂?18.01,0.8,96.03,0.84,88.35,0,0
鐢靛瓙鍟嗗姟,濂?28.56,0.99,74.92,0.76,91.48,0,3
鐢靛瓙鍟嗗姟,濂?22.62,0.67,100,0.96,83.88,0,3
澶ф暟鎹鐞?濂?20.91,0.72,100,0.8,77.23,0,4,
澶ф暟鎹鐞?鐢?5.0,0.67,58.12,0.75,44.49,1,4,
璐㈠姟绠＄悊,鐢?36.28,0.97,71.12,0.78,74.77,1,2
璐㈠姟绠＄悊,濂?26.29,0.66,66.57,0.91,69.46,0,2
璐㈠姟绠＄悊,濂?23.05,0.62,69.45,0.85,70.89,0,2
浜哄伐鏅鸿兘,濂?19.76,0.91,52.12,0.96,66.18,0,1
浜哄伐鏅鸿兘,濂?19.87,0.74,59.78,0.99,72.52,0,1
澶ф暟鎹鐞?鐢?25.56,0.97,92.01,0.77,84.96,1,4,
澶ф暟鎹鐞?濂?25.25,0.9,58.52,0.71,76.85,0,4,
浜哄伐鏅鸿兘,濂?21.56,0.93,59.16,0.95,66.53,0,1
浜哄伐鏅鸿兘,鐢?31.43,0.94,100,0.77,100,1,1
宸ュ晢绠＄悊,鐢?32.81,0.93,81.58,0.7,85.96,1,0
浜哄伐鏅鸿兘,濂?23.69,0.61,58.09,0.88,56.71,0,1
浜哄伐鏅鸿兘,濂?24.22,0.8,77.06,0.72,65.38,0,1
宸ュ晢绠＄悊,濂?37.8,0.98,88.53,0.96,95.33,0,0
浜哄伐鏅鸿兘,濂?22.63,0.71,87.99,0.82,76.58,0,1
鐢靛瓙鍟嗗姟,鐢?6.58,0.69,63.06,0.95,66.23,1,3
浜哄伐鏅鸿兘,濂?12.31,0.97,80.43,0.87,78.01,0,1
澶ф暟鎹鐞?鐢?28.11,0.73,74.23,0.86,74.44,1,4,
鐢靛瓙鍟嗗姟,濂?17.49,0.95,76.17,0.94,68.24,0,3
宸ュ晢绠＄悊,鐢?18.29,0.84,74.46,0.99,61.42,1,0
鐢靛瓙鍟嗗姟,鐢?27.84,0.94,80.92,0.87,78.23,1,3
澶ф暟鎹鐞?鐢?17.4,0.84,82.39,0.73,80.52,1,4,
鐢靛瓙鍟嗗姟,濂?23.96,0.66,68.51,0.93,71.74,0,3
浜哄伐鏅鸿兘,濂?33.47,0.89,75.92,0.82,71.96,0,1
宸ュ晢绠＄悊,濂?21.0,0.7,70.3,0.9,70.94,0,0
宸ュ晢绠＄悊,濂?10.11,0.74,72.25,0.97,70.38,0,0
璐㈠姟绠＄悊,鐢?38.43,0.83,75.67,0.94,78.2,1,2
浜哄伐鏅鸿兘,濂?28.13,0.66,85.8,0.88,81.18,0,1
浜哄伐鏅鸿兘,鐢?16.64,0.95,64.43,0.74,66.37,1,1
浜哄伐鏅鸿兘,鐢?16.87,0.81,82.27,0.88,65.41,1,1
鐢靛瓙鍟嗗姟,鐢?29.22,0.93,66.07,0.73,74.98,1,3
浜哄伐鏅鸿兘,濂?25.8,0.98,47.74,0.83,67.99,0,1
浜哄伐鏅鸿兘,鐢?28.31,0.62,82.96,0.79,84.54,1,1
宸ュ晢绠＄悊,鐢?12.05,0.7,68.14,0.83,72.33,1,0
璐㈠姟绠＄悊,濂?28.98,0.63,77.41,0.88,65.96,0,2
璐㈠姟绠＄悊,濂?21.35,0.94,97.03,0.91,79.5,0,2
澶ф暟鎹鐞?鐢?18.84,0.71,52.22,0.78,62,1,4,
宸ュ晢绠＄悊,濂?28.08,0.77,75.14,0.77,78.5,0,0
宸ュ晢绠＄悊,濂?23.87,0.85,71.26,0.76,75.71,0,0
璐㈠姟绠＄悊,濂?23.9,0.93,65.94,0.84,90.94,0,2
宸ュ晢绠＄悊,濂?25.9,0.7,61.74,0.82,70.76,0,0
璐㈠姟绠＄悊,鐢?22.86,0.99,88.34,0.8,91.22,1,2
璐㈠姟绠＄悊,濂?17.75,0.95,84.28,0.81,85.24,0,2
宸ュ晢绠＄悊,鐢?8.25,0.75,79.03,0.72,71.64,1,0
璐㈠姟绠＄悊,鐢?15.45,0.89,100,0.76,79.84,1,2
宸ュ晢绠＄悊,鐢?8.86,0.65,82.66,0.98,77.27,1,0
浜哄伐鏅鸿兘,濂?24.38,0.77,46.87,0.74,52.39,0,1
宸ュ晢绠＄悊,濂?9.71,0.81,80.7,0.72,65.9,0,0
璐㈠姟绠＄悊,鐢?22.37,0.92,80.78,0.74,72.74,1,2
宸ュ晢绠＄悊,濂?12.29,0.69,87.21,0.72,71.54,0,0
澶ф暟鎹鐞?濂?27.09,0.75,70.26,0.99,91.6,0,4,
璐㈠姟绠＄悊,濂?5.87,0.68,98.21,0.77,73.21,0,2
璐㈠姟绠＄悊,濂?20.16,0.98,71.96,0.73,77.12,0,2
浜哄伐鏅鸿兘,鐢?19.75,0.77,100,0.79,75,1,1
浜哄伐鏅鸿兘,鐢?32.15,0.88,78.83,0.87,78.56,1,1
宸ュ晢绠＄悊,濂?24.8,0.88,60.62,0.94,78.15,0,0
宸ュ晢绠＄悊,鐢?18.86,0.94,100,0.8,86.11,1,0
浜哄伐鏅鸿兘,鐢?13.54,0.86,94.11,0.89,70.73,1,1
宸ュ晢绠＄悊,鐢?27.34,0.81,97.36,0.97,83.79,1,0
宸ュ晢绠＄悊,鐢?16.3,0.64,78.96,0.98,77.73,1,0
澶ф暟鎹鐞?濂?24.97,0.8,65.61,0.83,64.26,0,4,
鐢靛瓙鍟嗗姟,鐢?16.16,0.78,59.07,0.84,63.73,1,3
鐢靛瓙鍟嗗姟,濂?27.68,0.9,80.9,0.78,79.84,0,3
宸ュ晢绠＄悊,濂?17.64,0.61,84.95,0.83,67.53,0,0
璐㈠姟绠＄悊,鐢?15.72,0.96,65.63,0.86,86.01,1,2
浜哄伐鏅鸿兘,濂?13.49,0.82,79.71,0.99,79.37,0,1
浜哄伐鏅鸿兘,鐢?7.45,0.95,99.21,0.9,74.21,1,1
浜哄伐鏅鸿兘,濂?13.71,0.9,100,0.83,84.32,0,1
璐㈠姟绠＄悊,濂?7.17,0.98,87.31,0.7,66.39,0,2
鐢靛瓙鍟嗗姟,鐢?26.87,0.73,84.6,0.95,87.17,1,3
鐢靛瓙鍟嗗姟,濂?13.31,0.75,68.45,0.85,58.07,0,3
宸ュ晢绠＄悊,濂?15.94,0.92,89.79,0.93,79.69,0,0
浜哄伐鏅鸿兘,鐢?29.07,0.9,87.12,0.9,88.7,1,1
宸ュ晢绠＄悊,鐢?30.42,0.93,94.41,0.74,93.43,1,0
浜哄伐鏅鸿兘,濂?23.19,0.67,81.96,0.76,64.78,0,1
鐢靛瓙鍟嗗姟,鐢?19.9,0.89,57.64,0.93,63.47,1,3
澶ф暟鎹鐞?濂?14.93,0.94,63.19,0.74,60.21,0,4,
澶ф暟鎹鐞?濂?27.04,0.83,79.45,0.78,72.77,0,4,
璐㈠姟绠＄悊,鐢?31.93,0.88,87.96,0.83,97.65,1,2
宸ュ晢绠＄悊,濂?23.05,0.74,73.51,0.71,73.08,0,0
澶ф暟鎹鐞?鐢?29.01,0.71,73.59,0.86,66.03,1,4,
浜哄伐鏅鸿兘,濂?25.17,0.88,67.87,0.87,79.65,0,1
澶ф暟鎹鐞?鐢?13.71,0.63,89.4,0.72,90.1,1,4,
鐢靛瓙鍟嗗姟,濂?9.64,0.62,57.97,0.72,63.2,0,3
澶ф暟鎹鐞?鐢?20.95,0.74,49.15,0.87,47.21,1,4,
浜哄伐鏅鸿兘,濂?21.68,0.91,82.32,0.91,75.5,0,1
澶ф暟鎹鐞?濂?24.36,0.97,70.09,0.97,85.88,0,4,
鐢靛瓙鍟嗗姟,濂?28.47,0.82,85.48,0.91,77.97,0,3
璐㈠姟绠＄悊,鐢?27.49,0.71,98.44,0.91,90.51,1,2
璐㈠姟绠＄悊,濂?17.41,0.73,70.85,0.83,73.84,0,2
澶ф暟鎹鐞?鐢?29.38,0.89,56.95,0.9,63.5,1,4,
宸ュ晢绠＄悊,鐢?26.76,0.86,63.03,0.7,67.89,1,0
璐㈠姟绠＄悊,鐢?21.79,0.75,64.75,0.93,43.13,1,2
浜哄伐鏅鸿兘,濂?5.0,0.64,71.47,0.82,50.29,0,1
浜哄伐鏅鸿兘,濂?9.36,0.82,34.13,0.96,46.11,0,1
宸ュ晢绠＄悊,鐢?28.76,0.79,92.71,0.82,76.02,1,0
鐢靛瓙鍟嗗姟,濂?12.43,0.76,76.68,0.85,82.97,0,3
澶ф暟鎹鐞?濂?13.68,0.89,92.38,0.97,68.63,0,4,
璐㈠姟绠＄悊,濂?13.65,0.91,96.24,0.79,76.63,0,2
鐢靛瓙鍟嗗姟,濂?29.78,0.97,81.27,0.96,85.49,0,3
鐢靛瓙鍟嗗姟,鐢?22.31,0.77,75.48,0.81,83.77,1,3
璐㈠姟绠＄悊,濂?16.75,0.7,86.15,0.95,64.26,0,2
澶ф暟鎹鐞?濂?27.07,0.95,87.94,0.88,93.38,0,4,
宸ュ晢绠＄悊,鐢?14.0,0.92,70.24,0.77,67.59,1,0
澶ф暟鎹鐞?濂?29.26,0.95,75.62,0.84,72.29,0,4,
宸ュ晢绠＄悊,鐢?14.32,0.91,62.31,0.93,69.75,1,0
璐㈠姟绠＄悊,濂?10.95,0.81,100,0.86,82.3,0,2
浜哄伐鏅鸿兘,濂?25.32,0.7,97.94,0.83,80.05,0,1
澶ф暟鎹鐞?濂?7.42,0.86,79.97,0.94,71.38,0,4,
璐㈠姟绠＄悊,鐢?21.23,0.69,100,0.93,81.87,1,2
宸ュ晢绠＄悊,鐢?21.86,0.7,89.81,0.94,81.32,1,0
澶ф暟鎹鐞?濂?24.29,0.66,51.62,0.72,63.68,0,4,
浜哄伐鏅鸿兘,鐢?16.77,0.7,100,0.91,95.71,1,1
宸ュ晢绠＄悊,濂?15.0,0.88,64.56,0.89,55.83,0,0
璐㈠姟绠＄悊,濂?27.14,0.77,72.82,0.82,89.39,0,2
璐㈠姟绠＄悊,濂?5.0,0.77,100,0.95,75,0,2
鐢靛瓙鍟嗗姟,濂?5.0,0.9,84.71,0.78,68.54,0,3
澶ф暟鎹鐞?濂?15.52,0.92,62.49,0.78,69.56,0,4,
浜哄伐鏅鸿兘,濂?24.06,0.75,100,0.8,87.51,0,1
璐㈠姟绠＄悊,鐢?16.39,0.8,97.73,0.92,77.62,1,2
澶ф暟鎹鐞?鐢?19.44,0.87,79.71,0.73,71.93,1,4,
璐㈠姟绠＄悊,鐢?30.44,0.95,68.67,0.88,73.51,1,2
宸ュ晢绠＄悊,濂?17.88,0.87,42.66,0.98,53.19,0,0
浜哄伐鏅鸿兘,濂?18.27,0.6,68.79,0.94,73.64,0,1
宸ュ晢绠＄悊,濂?17.03,0.91,77.62,0.75,75.21,0,0
宸ュ晢绠＄悊,鐢?24.9,0.67,88.06,0.75,72.56,1,0
澶ф暟鎹鐞?鐢?18.36,0.86,89.08,0.94,88.01,1,4,
澶ф暟鎹鐞?濂?30.19,0.74,70.32,0.78,75.25,0,4,
宸ュ晢绠＄悊,鐢?11.1,0.81,81.55,0.98,80.42,1,0
宸ュ晢绠＄悊,鐢?8.38,0.78,58,0.8,62.53,1,0
鐢靛瓙鍟嗗姟,鐢?19.88,0.61,100,0.73,75,1,3
宸ュ晢绠＄悊,濂?6.31,0.79,64.85,0.76,53.49,0,0
宸ュ晢绠＄悊,鐢?24.09,0.81,86.69,0.76,84.65,1,0
浜哄伐鏅鸿兘,濂?18.88,0.69,90.61,0.97,84.59,0,1
鐢靛瓙鍟嗗姟,濂?12.46,0.93,60.81,0.97,65.09,0,3
澶ф暟鎹鐞?鐢?29.16,0.98,62.44,0.73,72.2,1,4,
鐢靛瓙鍟嗗姟,鐢?25.09,0.94,96.38,0.89,97.72,1,3
澶ф暟鎹鐞?濂?14.67,0.67,53.65,0.95,53.45,0,4,
宸ュ晢绠＄悊,鐢?11.56,0.72,66.68,0.91,68.38,1,0
鐢靛瓙鍟嗗姟,鐢?26.21,0.72,56.73,0.96,65.12,1,3
浜哄伐鏅鸿兘,濂?9.72,0.69,76.82,0.84,64.18,0,1
宸ュ晢绠＄悊,濂?28.31,0.74,84.56,0.99,90.22,0,0
澶ф暟鎹鐞?鐢?23.14,0.88,58.71,0.79,72.34,1,4,
鐢靛瓙鍟嗗姟,濂?23.81,0.85,94.01,0.76,89.24,0,3
澶ф暟鎹鐞?鐢?22.22,0.65,86.3,0.98,88.78,1,4,
璐㈠姟绠＄悊,濂?15.09,0.73,64.5,0.76,62.43,0,2
宸ュ晢绠＄悊,鐢?25.57,0.71,72.02,0.9,77.9,1,0
宸ュ晢绠＄悊,濂?23.76,0.63,63.86,0.91,64.46,0,0
鐢靛瓙鍟嗗姟,鐢?10.48,0.74,69.2,0.84,66.4,1,3
鐢靛瓙鍟嗗姟,濂?15.74,0.63,66.19,0.71,59.92,0,3
璐㈠姟绠＄悊,濂?11.88,0.7,78.35,0.75,67.74,0,2
璐㈠姟绠＄悊,鐢?16.51,0.8,76.93,0.75,74.99,1,2
宸ュ晢绠＄悊,鐢?8.6,0.73,68.63,0.75,53.32,1,0
浜哄伐鏅鸿兘,鐢?24.24,0.92,83.98,0.9,97.4,1,1
鐢靛瓙鍟嗗姟,濂?27.11,0.72,47.43,1,55.7,0,3
